key,en,dv
brand,Hingaa Male',ހިނގާ މާލެ
nav_pledges,Pledges,ވައުދުތައް
nav_issues,Issues,މައްސަލަތައް
nav_manifesto,Manifesto,މެނިފެސްޓޯ
nav_about,Who am I?,އަހަންނަކީ ކާކު؟
nav_ledger,Ledger,ލެޖަރ
nav_get_involved,Get involved,ބައިވެރިވޭ
nav_contact,Contact,ގުޅޭ
nav_volunteer,Volunteer,ވޮލަންޓިއަރ
phase_label,Phase 1: Listening,ފޭސް 1: އަޑުއެހުން
hero_kicker,"Mayor of Male' City, Maldives",މާލެ ސިޓީ، ދިވެހިރާއްޖެގެ މޭޔަރ
hero_title,"A community-first vision for a pedestrianized Male', dignified living for everyone",ހިނގާބިނގާވެ އުޅެވޭ މާލެއެއް ހެދުމަށް މުޖުތަމައު އިސް ތަސައްވުރެއް، ކޮންމެ މީހަކަށް ކަރާމާތްތެރި ދިރިއުޅުން
hero_subtitle,"We deserve a mayor who puts residents first and never a party. Focused on everyday services: decongestion, waste, public safety and a transparent administration that improves YOUR daily quality of life.",އަޅުގަނޑުމެންނަށް ޙައްޤީ ރައްޔިތުން އިސްކޮށް ދުވަހަކުވެސް ޕާޓީއެއް ނޫން މޭޔަރެއް. ކޮންމެ ދުވަހެއްގެ ޚިދުމަތްތަކަށް އަމާޒު: ތޮއްޖެހުން ކުޑަކުރުން، ކުނި، ޢާންމު ރައްކާތެރިކަން، އަދި ތިޔަބޭފުޅުންގެ ދިރިއުޅުމުގެ ފެންވަރު ރަނގަޅުކުރާ ދެފުށް ފެންނަ ހިންގުމެއް.
cta_volunteer,Volunteer with us!,އަޅުގަނޑުމެންނާ އެކު ވޮލަންޓިއަރ ކުރޭ!
cta_manifesto,Read the plan,ޕްލޭން ކިޔާ
cta_get_involved,Get involved,ބައިވެރިވޭ
contact_campaign_email,Campaign email,ކެމްޕޭން އީމެއިލް
contact_whatsapp,WhatsApp,ވަޓްސްއެޕް
contact_viber,Twitter,ޓްވިޓަރ
contact_instagram,Instagram,އިންސްޓަގްރާމް
photo_label,Landing photo,ލޭންޑިން ފޮޓޯ
photo_upload,Upload,އަޕްލޯޑް
photo_clear,Clear,ފޮހެލާ
social_proof_volunteers,50 volunteers have joined so far,މިހާތަނަށް 50 ވޮލަންޓިއަރުން ގުޅިއްޖެ
social_proof_quote,"""We listen before we act. Power belongs to people, not parties.""",އަޅުގަނޑުމެން ޢަމަލު ކުރުމުގެ ކުރިން އަޑުއަހަން. ބާރު އޮންނަނީ ރައްޔިތުންގެ، ޕާޓީތަކުގެ ނޫން.
video_title,Watch: Why Hingaa Male?,ބަލާ: ކީއްވެ ހިނގާ މާލެ؟
pledges_title,Pledges,ވައުދުތައް
pledges_intro,"Every promise comes from the people, data-driven from our collective struggle. Here are crucial commitments we will find solutions for, together.",ކޮންމެ ވައުދެއް އަންނަނީ ރައްޔިތުންގެ ފަރާތުން، އެކުގައި ކުރި މަސައްކަތުގެ ޑޭޓާ އިން. މިއީ އެކުގައި ޙައްލު ހޯދާނެ މުހިންމު ވައުދުތައް.
pledges_pdf,Want the full plan as a PDF?,މުޅި ޕްލޭން PDF ގެ ގޮތުގައި ބޭނުންތޯ؟
pledges_add_download,Add download link,ޑައުންލޯޑް ލިންކް އެޅުއްވާ
issues_title,Issues,މައްސަލަތައް
issues_intro,"Six challenges facing Malé Area — with data, context, and our plan for each.",މާލެ ސަރަޙައްދަށް ކުރިމަތިވެފައިވާ ހަ ގޮންޖެހުން — ޑޭޓާ، ހާލަތު، އަދި ކޮންމެ ކަމަކަށް އަޅުގަނޑުމެންގެ ޕްލޭން.
issue_reality_label,Current reality,ހާލަތު
issue_plan_label,Our plan,އަޅުގަނޑުމެންގެ ޕްލޭން
chart_density_title,Population Density (per km²),އާބާދީ ބޯމިން (ކިލޯ މީޓަރަކަށް)
chart_revenue_title,Male' City Council Budget vs National Budget,ކައުންސިލް ބަޖެޓް vs ގައުމީ ބަޖެޓް
chart_revenue_council,Male' City Council (MVR 487.2M) *2025,މާލެ ސިޓީ ކައުންސިލް (MVR 487.2M)
chart_revenue_national,National Budget (MVR 64.2B) *2026,ގައުމީ ބަޖެޓް (MVR 64.2B) *2026
chart_budget_male_title,MCC Budget Breakdown,ކައުންސިލް ބަޖެޓް ބެހިފައިވާ ގޮތް
chart_budget_total_label,Total budget: MVR 487.2M,ޖުމްލަ ބަޖެޓް: MVR 487.2M
chart_budget_approved,2025 approved,2025 ފާސްކޮށްފައި
chart_budget_grant_label,National block grant: MVR 179.5M,ގައުމީ ބްލޮކް ގްރާންޓް: MVR 179.5M
chart_budget_grant_pct,36.8% of council budget,ކައުންސިލް ބަޖެޓްގެ 36.8%
chart_budget_own_label,Own-source revenue: MVR 308M,އަމިއްލަ ރެވެނިއު: MVR 308M
